Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,65.040001,65.489998,65.010002,65.480003,65.480003,16689300
2017-04-18,65.330002,65.709999,65.160004,65.389999,65.389999,15155600
2017-04-19,65.650002,65.750000,64.889999,65.040001,65.040001,26992800
2017-04-20,65.459999,65.750000,65.139999,65.500000,65.500000,22299500
2017-04-21,65.669998,66.699997,65.449997,66.400002,66.400002,32522600
2017-04-24,67.480003,67.660004,67.099998,67.529999,67.529999,29770000
2017-04-25,67.900002,68.040001,67.599998,67.919998,67.919998,30242700
2017-04-26,68.080002,68.309998,67.620003,67.830002,67.830002,26190800
2017-04-27,68.150002,68.379997,67.580002,68.269997,68.269997,34971000
2017-04-28,68.910004,69.139999,67.690002,68.459999,68.459999,39548800
2017-05-01,68.680000,69.550003,68.500000,69.410004,69.410004,31954400
2017-05-02,69.709999,69.709999,69.129997,69.300003,69.300003,23906100
2017-05-03,69.379997,69.379997,68.709999,69.080002,69.080002,28928000
2017-05-04,69.029999,69.080002,68.639999,68.809998,68.809998,21749400
2017-05-05,68.900002,69.029999,68.489998,69.000000,69.000000,19128800
2017-05-08,68.970001,69.050003,68.419998,68.940002,68.940002,18566100
2017-05-09,68.860001,69.279999,68.680000,69.040001,69.040001,22858400
2017-05-10,68.989998,69.559998,68.919998,69.309998,69.309998,17977800
2017-05-11,68.360001,68.730003,68.120003,68.459999,68.459999,28789400
2017-05-12,68.610001,68.610001,68.040001,68.379997,68.379997,17073000
